id	treenum	term
D002313	C14.280.238.160	Cardiomyopathy, Restrictive
D002318	C14	Cardiovascular Diseases
D002340	C10.228.140.300.200	Carotid Artery Diseases
D002341	C10.228.140.300.200.355	Carotid Artery Thrombosis
D002345	C04.557.465.625.650.700.705.220	Carotid Body Tumor
D002349	C10.668.829.500.500.200	Carpal Tunnel Syndrome
D002357	C05.182	Cartilage Diseases
D002371	C22.180	Cat Diseases
D002372	C01.252.400.126.100.150	Cat-Scratch Disease
D002375	C10.597.350.200	Catalepsy
D002385	C10.886.425.800.200.750.500	Cataplexy
D002386	C11.510.245	Cataract
D002388	C23.550.291.250	Catastrophic Illness
D002389	C10.597.606.115	Catatonia
D002418	C22.196	Cattle Diseases
D002422	C10.177.195.200	Causalgia
D002429	C06.405.469.110	Cecal Diseases
D002430	C04.588.274.476.411.184	Cecal Neoplasms
D002446	C06.405.469.637.250	Celiac Disease
D002471	C04.697.098.500	Cell Transformation, Neoplastic
